Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
60, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 597, COMPLETED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 683.9, Build City District
61, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 903, SUBMITTED, UNIT_SPEARMAN, NO_BUILDING, NO_DISTRICT, VALUE 197.0, Build Trigger Unit
61, 2, LOC_CITY_NAME_YOKOHAMA, , CONTRACT 903, SUBMITTED, UNIT_SPEARMAN, NO_BUILDING, NO_DISTRICT, VALUE 197.0, Build Trigger Unit
61, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 904, SUBMITTED, NO_UNIT, BUILDING_WATER_MILL, NO_DISTRICT, VALUE 0.0, Build Trigger Building
61, 3, LOC_CITY_NAME_WASHINGTON, , CONTRACT 906, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
61, 3, LOC_CITY_NAME_PHILADELPHIA, , CONTRACT 906, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 69.0, Build City Improvement
61, 4, LOC_CITY_NAME_MADRID, , CONTRACT 715, FAILED, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 114.0, Unknown
61, 4, LOC_CITY_NAME_MADRID, , CONTRACT 727, FAILED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 12.0, Unknown
61, 4, LOC_CITY_NAME_MADRID, , , UNIT_GALLEY, Default Specialization, , , Value 156.9
61, 4, LOC_CITY_NAME_BARCELONA, , CONTRACT 907, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 137.0, Build City Building
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 662, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 92.0, Unknown
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 663, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 150.0, Unknown
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 672, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 104.0, Unknown
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 691, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 134.0, Unknown
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 747, COMPLETED, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 749, COMPLETED, NO_UNIT, BUILDING_SHRINE, NO_DISTRICT, VALUE 280.4, Build City Building
61, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 814, CANCELLED, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
61, 5, LOC_CITY_NAME_RA_KEDET, , , UNIT_SETTLER, Settle City Op, CONTRACT 877
61, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 908, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
61, 6, LOC_CITY_NAME_MBUMBI, , CONTRACT 908, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
61, 14, LOC_CITY_NAME_LISBON, , , UNIT_ARCHER, Generic Offense
61, 15, LOC_CITY_NAME_CARTHAGE, , , UNIT_ARCHER, Default Specialization, , , Value 52.0
61, 17, LOC_CITY_NAME_MOHENJO_DARO, , CONTRACT 754, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 408.0, Unknown
61, 17, LOC_CITY_NAME_MOHENJO_DARO, , , BUILDING_MONUMENT, Default Specialization, , , Value 47.6
61, 18, LOC_CITY_NAME_AMSTERDAM, , CONTRACT 738, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 165.0, Build City Improvement
61, 18, LOC_CITY_NAME_AMSTERDAM, , , DISTRICT_COMMERCIAL_HUB, Build City District, CONTRACT 893
61, 20, LOC_CITY_NAME_STOCKHOLM, , CONTRACT 910, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 10.0, Build City Improvement
61, 21, PURCHASE, , , UNIT_BUILDER, Build City Improvement, CONTRACT 894
61, 23, LOC_CITY_NAME_KUMASI, , CONTRACT 777, COMPLETED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Build City Building
61, 23, LOC_CITY_NAME_KUMASI, , , UNIT_ARCHER, Default Specialization, , , Value 44.0
61, 25, LOC_CITY_NAME_BRUSSELS, , CONTRACT 683, COMPLETED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 81.1, Simple Operation Attack
61, 25, LOC_CITY_NAME_BRUSSELS, , , UNIT_ARCHER, Generic Offense
62, 1, LOC_CITY_NAME_XIAN, , CONTRACT 911, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
62, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 911, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
62, 1, LOC_CITY_NAME_XIAN, , CONTRACT 912, SUBMITTED, NO_UNIT, BUILDING_WALLS, NO_DISTRICT, VALUE 218.0, Build City Building
62, 1, LOC_CITY_NAME_XIAN, , CONTRACT 913, SUBMITTED, NO_UNIT, BUILDING_WALLS, NO_DISTRICT, VALUE 0.0, Build Trigger Building
62, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 914, SUBMITTED, NO_UNIT, BUILDING_WALLS, NO_DISTRICT, VALUE 624.0, Build City Building
62, 1, LOC_CITY_NAME_XIAN, , CONTRACT 916, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 376.0, Build City Improvement
62, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 916, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 376.0, Build City Improvement
62, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 917, SUBMITTED, NO_UNIT, BUILDING_SHRINE, NO_DISTRICT, VALUE 277.0, Build City Building
62, 4, LOC_CITY_NAME_MADRID, , CONTRACT 920, SUBMITTED, UNIT_GALLEY, NO_BUILDING, NO_DISTRICT, VALUE 157.0, Build City Building
62, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 922, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 203.0, Build City Building
62, 7, LOC_CITY_NAME_TEOTIHUACAN, , CONTRACT 852, IN PROGRESS, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 112.9, Simple Operation Attack
62, 7, LOC_CITY_NAME_TEOTIHUACAN, , CONTRACT 869, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 370.0, Unknown
62, 7, LOC_CITY_NAME_TEOTIHUACAN, , , DISTRICT_CAMPUS, Build City District, CONTRACT 853
62, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 925, SUBMITTED, UNIT_AZTEC_EAGLE_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 610.0, Early City Assault
62, 7, LOC_CITY_NAME_TEOTIHUACAN, , CONTRACT 926, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 236.0, Build City District
62, 12, LOC_CITY_NAME_VALLETTA, , CONTRACT 736, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 78.0, Unknown
62, 12, LOC_CITY_NAME_VALLETTA, , CONTRACT 765, COMPLETED, UNIT_HORSEMAN, NO_BUILDING, NO_DISTRICT, VALUE 152.7, Build City Building
62, 12, LOC_CITY_NAME_VALLETTA, , , UNIT_HORSEMAN, Generic Offense
62, 16, PURCHASE, , , UNIT_ARCHER, Simple Operation Attack, CONTRACT 891
62, 22, LOC_CITY_NAME_KANDY, , CONTRACT 824, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 318.0, Build City Improvement
62, 22, LOC_CITY_NAME_KANDY, , , BUILDING_GRANARY, Default Specialization, , , Value 29.9
63, 1, LOC_CITY_NAME_XIAN, , CONTRACT 711, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 70.0, Unknown
63, 1, LOC_CITY_NAME_XIAN, , CONTRACT 792, FAILED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Unknown
63, 1, LOC_CITY_NAME_XIAN, , CONTRACT 844, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 183.0, Build City Improvement
63, 1, LOC_CITY_NAME_XIAN, , CONTRACT 861, IN PROGRESS, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 511.0, Early City Assault
63, 1, LOC_CITY_NAME_XIAN, , , BUILDING_WALLS, Build City Building, CONTRACT 912
63, 1, LOC_CITY_NAME_XIAN, , CONTRACT 930, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 551.0, Settle City Op
63, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 930, SUBMITTED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 551.0, Settle City Op
63, 1, LOC_CITY_NAME_XIAN, , CONTRACT 931, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 574.0, Early City Assault
63, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 931, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 574.0, Early City Assault
63, 3, LOC_CITY_NAME_WASHINGTON, , CONTRACT 714, COMPLETED, NO_UNIT, BUILDING_WATER_MILL, NO_DISTRICT, VALUE 288.8, Build Trigger Building
63, 3, LOC_CITY_NAME_WASHINGTON, , CONTRACT 746, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 93.0, Unknown
63, 3, LOC_CITY_NAME_WASHINGTON, , CONTRACT 808, FAILED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Unknown
63, 3, LOC_CITY_NAME_WASHINGTON, , , UNIT_HEAVY_CHARIOT, Early City Assault, CONTRACT 848
63, 3, LOC_CITY_NAME_WASHINGTON, , CONTRACT 934, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
63, 3, LOC_CITY_NAME_PHILADELPHIA, , CONTRACT 934, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
63, 4, PURCHASE, , , UNIT_WARRIOR, Early City Assault, CONTRACT 868
63, 4, LOC_CITY_NAME_MADRID, , CONTRACT 937, SUBMITTED, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 79.0, Early City Assault
63, 4, LOC_CITY_NAME_BARCELONA, , CONTRACT 937, SUBMITTED, UNIT_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 79.0, Early City Assault
63, 4, LOC_CITY_NAME_MADRID, , CONTRACT 938, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 76.0, Build City Improvement
63, 4, LOC_CITY_NAME_BARCELONA, , CONTRACT 938, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 76.0, Build City Improvement
63, 4, LOC_CITY_NAME_BARCELONA, , CONTRACT 939, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 416.0, Build City District
63, 5, LOC_CITY_NAME_RA_KEDET, , CONTRACT 940, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 150.0, Simple Operation Attack
63, 5, LOC_CITY_NAME_MEMPHIS, , CONTRACT 940, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 150.0, Simple Operation Attack
63, 5, LOC_CITY_NAME_SHEDET, , CONTRACT 940, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 150.0, Simple Operation Attack
63, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 734, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 66.0, Unknown
63, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 750, COMPLETED, UNIT_SETTLER, NO_BUILDING, NO_DISTRICT, VALUE 452.9, Settle City Op
63, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 770, FAILED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 98.0, Unknown
63, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 783, FAILED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 52.1, Unknown
63, 6, LOC_CITY_NAME_MBANZA_KONGO, , , UNIT_WARRIOR, Early City Assault, CONTRACT 800
63, 6, LOC_CITY_NAME_MBANZA_KONGO, , CONTRACT 942, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 189.0, Build City Improvement
63, 6, LOC_CITY_NAME_MBUMBI, , CONTRACT 942, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 189.0, Build City Improvement
63, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 852, CANCELLED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 119.0, Unknown
63, 7, LOC_CITY_NAME_TENOCHTITLAN, , , UNIT_AZTEC_EAGLE_WARRIOR, Early City Assault, CONTRACT 925
63, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 943, SUBMITTED, UNIT_AZTEC_EAGLE_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 74.0, Simple Operation Attack
63, 7, LOC_CITY_NAME_TEOTIHUACAN, , CONTRACT 943, SUBMITTED, UNIT_AZTEC_EAGLE_WARRIOR, NO_BUILDING, NO_DISTRICT, VALUE 74.0, Simple Operation Attack
63, 8, LOC_CITY_NAME_JAKARTA, , , UNIT_ARCHER, Generic Offense
63, 9, LOC_CITY_NAME_HATTUSA, , , PROJECT_ENHANCE_DISTRICT_CAMPUS, Default Specialization, , , Value 4.2
63, 11, LOC_CITY_NAME_JERUSALEM, , CONTRACT 945, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 57.0, Build City Improvement
63, 17, LOC_CITY_NAME_MOHENJO_DARO, Canceling current build, OLD VALUE 62.5
63, 17, LOC_CITY_NAME_MOHENJO_DARO, , , UNIT_ARCHER, Generic Offense
63, 18, LOC_CITY_NAME_AMSTERDAM, , CONTRACT 893, CANCELLED, NO_UNIT, NO_BUILDING, DISTRICT_COMMERCIAL_HUB, VALUE 493.1, Unknown
63, 18, LOC_CITY_NAME_AMSTERDAM, , , UNIT_ARCHER, Default Specialization, , , Value 51.0
63, 21, LOC_CITY_NAME_ARMAGH, , CONTRACT 894, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 65.0, Unknown
63, 21, LOC_CITY_NAME_ARMAGH, , , PROJECT_ENHANCE_DISTRICT_HOLY_SITE, Default Specialization, , , Value 4.2
63, 24, LOC_CITY_NAME_GRANADA, , , UNIT_ARCHER, Generic Offense
64, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 949, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 336.0, Build City District
64, 1, LOC_CITY_NAME_XIAN, , CONTRACT 951, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 234.0, Build City Improvement
64, 1, LOC_CITY_NAME_BEIJING, , CONTRACT 951, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 234.0, Build City Improvement
64, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 807, CANCELLED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 137.0, Build City Improvement
64, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 865, COMPLETED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 412.0, Build City Improvement
64, 2, LOC_CITY_NAME_KYOTO, , , UNIT_BUILDER, Build City Improvement, CONTRACT 831
64, 2, LOC_CITY_NAME_KYOTO, , CONTRACT 952, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Simple Operation Attack
64, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 952, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Simple Operation Attack
64, 2, LOC_CITY_NAME_YOKOHAMA, , CONTRACT 952, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 27.0, Simple Operation Attack
64, 2, LOC_CITY_NAME_YOKOHAMA, , CONTRACT 953, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 175.0, Build City Building
64, 2, LOC_CITY_NAME_FUKUOKA, , CONTRACT 954, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 251.0, Build City Improvement
64, 2, LOC_CITY_NAME_YOKOHAMA, , CONTRACT 954, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 251.0, Build City Improvement
64, 3, PURCHASE, , , UNIT_ARCHER, Simple Operation Attack, CONTRACT 934
64, 3, LOC_CITY_NAME_WASHINGTON, , CONTRACT 955, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
64, 3, LOC_CITY_NAME_PHILADELPHIA, , CONTRACT 955, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 50.0, Simple Operation Attack
64, 4, LOC_CITY_NAME_MADRID, , CONTRACT 957, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
64, 4, LOC_CITY_NAME_BARCELONA, , CONTRACT 957, SUBMITTED, UNIT_ARCHER, NO_BUILDING, NO_DISTRICT, VALUE 100.0, Simple Operation Attack
64, 4, LOC_CITY_NAME_MADRID, , CONTRACT 959, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 127.0, Build City Improvement
64, 4, LOC_CITY_NAME_BARCELONA, , CONTRACT 959, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 127.0, Build City Improvement
64, 6, LOC_CITY_NAME_MBUMBI, , CONTRACT 961, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_THEATER, VALUE 185.0, Build City District
64, 6, LOC_CITY_NAME_MBUMBI, , CONTRACT 962, SUBMITTED, NO_UNIT, BUILDING_GRANARY, NO_DISTRICT, VALUE 133.0, Build City Building
64, 7, LOC_CITY_NAME_TENOCHTITLAN, , CONTRACT 964, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 344.0, Build City Improvement
