Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
60, 1, City Defense, Started
60, 1, Operation Settle New City running
60, Settle New City, 1, , Battle line, 22:22, 1 endangered
60, 1, Attack Enemy City, No recruits to reach minimum, , , 
60, 1, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 1, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_GALLEY
60, 1, Naval Superiority, Operation complete
60, 2, Operation Settle New City running
60, 2, Settle New City, ,0, Not Ready, 
60, 2, Operation Attack Enemy City running
60, 2, Attack Enemy City, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; UNIT_WARRIOR; UNIT_WARRIOR; 
60, 2, Attack Enemy City, Operation complete
60, 3, Operation Settle New City running
60, 3, Settle New City, ,0, Ready, UNIT_ARCHER; UNIT_SETTLER; 
60, 3, Operation Attack Enemy City running
60, Attack Enemy City, 3, , Battle line, 1073741832:23, 0 endangered
60, 3, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
60, 3, Operation Attack Barb Camp running
60, 3, Attack Barb Camp, ,0, Not Ready, 
60, 3, Operation Attack Enemy City running
60, 3, Attack Enemy City, ,0, Not Ready, 
60, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
60, 3, Settle New City, Operation Move, UNIT_ARCHER, 16:25, 18:30, 17:26
60, 3, Settle New City, Operation Move, UNIT_SETTLER, 17:26, 18:30, 17:26
60, 3, Attack Enemy City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
60, 3, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 8:23, Move 11:24, Attack -9999:-9999
60, 3, Attack Enemy City, Operation Siege City, UNIT_WARRIOR, From 9:23, Goal: 9:24, Move 9:24
60, 3, Attack Enemy City, Operation City Attack, UNIT_WARRIOR, 9:24, Move 9:24, Attack 9:25
60, 3, Attack Enemy City, Operation Move, UNIT_WARRIOR, 7:20, 9:24, 7:21
60, 3, Attack Enemy City, Operation Move, UNIT_WARRIOR, 6:19, 9:24, 8:19
60, 3, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
60, 3, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
60, 4, Operation Settle New City running
60, 4, Settle New City, ,0, Ready, UNIT_WARRIOR; UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; 
60, 4, Operation Barb Camp Tech Boost running
60, 4, Barb Camp Tech Boost, ,0, Not Ready, 
60, 4, Operation Attack Enemy City running
60, 4, Attack Enemy City, ,0, Not Ready, 
60, 4, Naval Superiority, Started
60, 4, Settle New City, No recruits to reach minimum, , , 
60, 4, Settle New City, No recruits to match strength, , Enemy Str: 43.0, 
60, 4, Settle New City, No recruits to reach minimum, , , 
60, 4, Settle New City, No recruits to match strength, , Enemy Str: 43.0, 
60, 4, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_ARCHER
60, 4, Settle New City, Operation Protect Units, UNIT_WARRIOR, Fortify
60, 4, Settle New City, Operation Move, UNIT_WARRIOR, 16:39, 16:39, 16:39
60, 4, Settle New City, Operation Move, UNIT_SETTLER, 16:39, 16:39, 16:39
60, 4, Settle New City, Operation Move, UNIT_WARRIOR, 15:39, 15:39, 15:39
60, 4, Barb Camp Tech Boost, No recruits to reach minimum, , , 
60, 4, Barb Camp Tech Boost, No recruits to reach minimum, , , 
60, 4, Barb Camp Tech Boost, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
60, 4, Attack Enemy City, No recruits to reach minimum, , , 
60, 4, Attack Enemy City, No recruits to reach minimum, , , 
60, 4, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 4, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
60, 4, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_GALLEY
60, 4, Naval Superiority, No recruits to reach minimum, , , 
60, 4, Naval Superiority, No recruits to match strength, , Enemy Str: 75.0, 
60, 4, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
60, 5, Settle New City, Started
60, 5, Operation Settle New City running
60, 5, Settle New City, ,0, Not Ready, 
60, 5, Operation Attack Barb Camp running
60, Attack Barb Camp, 5, , Battle line, 49:35, 0 endangered
60, 5, Attack Barb Camp, ,0, Not Ready, UNIT_WARRIOR; 
60, 5, Operation Attack Enemy City running
60, 5, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
60, 5, Naval Superiority, Started
60, 5, Attack Barb Camp, No recruits to reach minimum, , , 
60, 5, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
60, 5, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 48:37, 50:34, 49:35
60, 5, Attack Enemy City, No recruits to reach minimum, , , 
60, 5, Attack Enemy City, Recruiting strength, , Enemy Str: 81.5, UNIT_WARRIOR
60, 5, Attack Enemy City, Recruiting strength, , Enemy Str: 81.5, UNIT_WARRIOR
60, 5, Attack Enemy City, Operation Recruit, 5 units, Recruited 2, Contract for: UNIT_WARRIOR
60, 5, Attack Enemy City, No recruits to reach minimum, , , 
60, 5, Attack Enemy City, No recruits to match strength, , Enemy Str: 119.0, 
60, 5, Attack Enemy City, Operation Recruit, 5 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 5, Attack Enemy City, Operation Move, UNIT_WARRIOR, 48:41, 49:42, 49:42
60, 5, Attack Enemy City, Operation Move, UNIT_WARRIOR, 49:40, 49:41, 49:41
60, 5, Attack Enemy City, Operation Move, UNIT_WARRIOR, 48:40, 50:41, 50:40
60, 5, Attack Enemy City, Operation Move, UNIT_WARRIOR, 47:37, 49:41, 48:39
60, 5, Attack Enemy City, Operation Move, UNIT_WARRIOR, 59:44, 50:42, 58:42
60, 5, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
60, 5, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_GALLEY
60, 5, Naval Superiority, No recruits to reach minimum, , , 
60, 5, Naval Superiority, No recruits to match strength, , Enemy Str: 75.0, 
60, 5, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
60, 6, Operation Settle New City running
60, Settle New City, 6, , Battle line, 58:23, 1 endangered
60, 6, Settle New City, ,0, Not Ready, UNIT_WARRIOR; 
60, 6, Operation City Defense running
60, City Defense, 6, , Battle line, 61:22, 0 endangered
60, 6, City Defense, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
60, 6, Operation Attack Barb Camp running
60, 6, Attack Barb Camp, ,0, Not Ready, 
60, 6, Operation Attack Enemy City running
60, 6, Attack Enemy City, ,0, Not Ready, 
60, 6, Naval Superiority, Started
60, Settle New City, 6, , Battle line, 58:23, 1 endangered
60, 6, Settle New City, No recruits to reach minimum, , , 
60, Settle New City, 6, , Battle line, 58:23, 1 endangered
60, 6, Settle New City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_SETTLER
60, 6, Settle New City, Operation Protect Units, UNIT_WARRIOR, Move 59 24
60, 6, City Defense, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_ARCHER
60, 6, City Defense, Operation Move, UNIT_WARRIOR, 64:24, 60:24, 63:24
60, 6, City Defense, Operation Move, UNIT_WARRIOR, 63:23, 59:23, 62:23
60, 6, City Defense, Operation Move, UNIT_WARRIOR, 63:21, 59:23, 62:21
60, 6, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 6, Attack Barb Camp, Operation complete
60, 6, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
60, 6, Naval Superiority, Operation complete
60, 7, City Defense, Started
60, 7, Operation Settle New City running
60, 7, Settle New City, ,0, Not Ready, 
60, 7, Operation City Defense running
60, 7, City Defense, ,0, Not Ready, 
60, 7, Operation City Defense running
60, City Defense, 7, , Battle line, 20:39, 1 endangered
60, 7, City Defense, ,0, Not Ready, UNIT_SCOUT; UNIT_AZTEC_EAGLE_WARRIOR; 
60, 7, Operation Barb Camp Tech Boost running
60, Barb Camp Tech Boost, 7, , Battle line, 20:40, 1 endangered
60, 7, Barb Camp Tech Boost, ,0, Not Ready, UNIT_AZTEC_EAGLE_WARRIOR; 
60, 7, Naval Superiority, Started
60, City Defense, 7, , Battle line, 20:39, 1 endangered
60, 7, City Defense, No recruits to reach minimum, , , 
60, 7, City Defense, Recruiting strength, , Enemy Str: 98.0, UNIT_SCOUT
60, City Defense, 7, , Battle line, 20:39, 2 endangered
60, 7, City Defense, Operation Recruit, 3 units, Recruited 1, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
60, 7, City Defense, Operation Attack Units, UNIT_AZTEC_EAGLE_WARRIOR, At 19:37, Move 20:37, Attack -9999:-9999
60, 7, City Defense, Operation Attack Units, UNIT_SCOUT, At 22:41, Move 21:41, Attack 21:40
60, 7, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
60, 7, City Defense, Operation complete
60, 7, Barb Camp Tech Boost, No recruits to reach minimum, , , 
60, 7, Barb Camp Tech Boost, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
60, 7, Barb Camp Tech Boost, Operation Protect Units, UNIT_AZTEC_EAGLE_WARRIOR, Promote
60, 7, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
60, 7, Naval Superiority, Operation complete
60, 8, Operation City Defense running
60, 8, City Defense, ,0, Ready, UNIT_WARRIOR; 
60, 8, City Defense, No recruits to reach minimum, , , 
60, 8, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
60, 8, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
60, 11, Operation City Defense running
60, 11, City Defense, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; 
60, 11, City Defense, No recruits to reach minimum, , , 
60, 11, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
60, 11, City Defense, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 12, City Defense, Started
60, 12, Operation City Defense running
60, 12, City Defense, ,0, Ready, 
60, 12, City Defense, No recruits to reach minimum, , , 
60, 12, City Defense, Recruiting strength, , Enemy Str: 20.0, UNIT_WARRIOR
60, 12, City Defense, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_HORSEMAN
60, 16, Operation Attack Barb Camp running
60, 16, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_ARCHER; 
60, 16, Attack Barb Camp, No recruits to reach minimum, , , 
60, 16, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
60, 16, Attack Barb Camp, No recruits to reach minimum, , , 
60, 16, Attack Barb Camp, No recruits to match strength, , Enemy Str: 10.0, 
60, 16, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
60, 16, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 27:13, 22:13, 26:12
60, 16, Attack Barb Camp, Operation Move, UNIT_ARCHER, 27:13, 23:13, 26:13
60, 17, Operation City Defense running
60, 17, City Defense, ,0, Ready, UNIT_WARRIOR; 
60, 17, City Defense, No recruits to reach minimum, , , 
60, 17, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
60, 17, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
60, 22, Operation Attack Barb Camp running
60, Attack Barb Camp, 22, , Battle line, 1073741836:46, 0 endangered
60, 22, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_ARCHER; UNIT_ARCHER; 
60, 22, Attack Barb Camp, No recruits to reach minimum, , , 
60, 22, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.0, 
60, 22, Attack Barb Camp, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_ARCHER
60, 22, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 14:47, Move 14:48, Attack -9999:-9999
60, 22, Attack Barb Camp, Operation Attack Units, UNIT_ARCHER, At 12:45, Move 13:47, Attack -9999:-9999
60, 22, Attack Barb Camp, Operation Move, UNIT_ARCHER, 12:44, 13:48, 12:45
60, 24, Operation City Defense running
60, 24, City Defense, ,0, Ready, UNIT_WARRIOR; 
60, 24, City Defense, No recruits to reach minimum, , , 
60, 24, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
60, 24, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
60, 25, Operation Attack Barb Camp running
60, 25, Attack Barb Camp, ,0, Not Ready, UNIT_ARCHER; UNIT_ARCHER; 
60, 25, Operation City Defense running
60, 25, City Defense, ,0, Ready, UNIT_WARRIOR; 
60, 25, City Defense, No recruits to reach minimum, , , 
60, 25, City Defense, No recruits to match strength, , Enemy Str: 26.0, 
60, 25, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
60, 25, Attack Barb Camp, No recruits to reach minimum, , , 
60, 25, Attack Barb Camp, No recruits to match strength, , Enemy Str: 10.0, 
60, 25, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR
60, 25, Attack Barb Camp, Attack Target Move, UNIT_ARCHER, At 21:24, Move 22:24, Arrive 22:24
60, 25, Attack Barb Camp, Attack Target Move Direct, UNIT_ARCHER, At 18:22, Move -9999:-9999, Arrive 19:23
60, 63, Operation Barbarian Attack running
60, 63, Barbarian Attack, ,0, Not Ready, 
60, 63, Operation Barbarian City Assault running
60, 63, Barbarian City Assault, ,0, Not Ready, 
60, 63, Operation Barbarian Attack running
60, 63, Barbarian Attack, ,0, Not Ready, 
60, 63, Operation Barbarian Attack running
60, Barbarian Attack, 63, , Battle line, 59:23, 0 endangered
60, 63, Barbarian Attack, ,0, Ready, UNIT_ARCHER; UNIT_WARRIOR; 
60, 63, Operation Barbarian Attack running
60, Barbarian Attack, 63, , Battle line, 22:22, 0 endangered
60, 63, Barbarian Attack, ,0, Not Ready, UNIT_WARRIOR; UNIT_ARCHER; UNIT_WARRIOR; 
60, 63, Operation Barbarian Attack running
60, Barbarian Attack, 63, , Battle line, 72:32, 1 endangered
60, 63, Barbarian Attack, ,0, Ready, UNIT_WARRIOR; UNIT_ARCHER; 
60, 63, Barbarian Attack, Operation Attack Units, UNIT_ARCHER, At 74:33, Move 74:33, Attack 73:33
60, 63, Barbarian Attack, Operation Attack Units, UNIT_WARRIOR, At 72:33, Move 73:32, Attack 72:32
60, 63, Barbarian Attack, Operation Attack Units, UNIT_ARCHER, At 22:23, Move 22:23, Attack 22:24
60, 63, Barbarian Attack, Operation Attack Units, UNIT_WARRIOR, At 24:24, Move 23:24, Attack -9999:-9999
60, 63, Barbarian Attack, Operation Attack Units, UNIT_WARRIOR, At 23:23, Move 22:25, Attack -9999:-9999
61, 1, City Defense, Started
61, 1, Operation Settle New City running
61, Settle New City, 1, , Battle line, 15:23, 0 endangered
61, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_ARCHER; 
61, 1, Operation Attack Enemy City running
61, Attack Enemy City, 1, , Battle line, 16:22, 0 endangered
61, 1, Attack Enemy City, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; UNIT_WARRIOR; 
61, 1, Operation Attack Barb Camp running
61, 1, Attack Barb Camp, ,0, Not Ready, 
61, 1, Operation Attack Enemy City running
61, 1, Attack Enemy City, ,0, Not Ready, 
61, 1, Operation City Defense running
61, 1, City Defense, ,0, Not Ready, 
61, 1, Naval Superiority, Started
61, 1, Settle New City, No recruits to reach minimum, , , 
61, 1, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
61, 1, Settle New City, No recruits to reach minimum, , , 
61, 1, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
61, 1, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
61, 1, Settle New City, Operation Attack Units, UNIT_ARCHER, At 9:25, Move 9:25, Attack 9:24
61, 1, Settle New City, Operation Move, UNIT_SETTLER, 22:21, 18:30, 22:22
61, 1, City Defense, No recruits to reach minimum, , , 
61, 1, City Defense, No recruits to match strength, , Enemy Str: 62.0, 
61, 1, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
61, 1, City Defense, Operation complete
61, 1, Attack Enemy City, No recruits to reach minimum, , , 
61, 1, Attack Enemy City, No recruits to match strength, , Enemy Str: 112.0, 
61, 1, Attack Enemy City, No recruits to reach minimum, , , 
61, 1, Attack Enemy City, No recruits to match strength, , Enemy Str: 112.0, 
61, 1, Attack Enemy City, Operation Recruit, 5 units, Recruited 0, Contract for: UNIT_WARRIOR
61, 1, Attack Enemy City, Operation Attack Units, UNIT_ARCHER, At 23:21, Move 23:22, Attack -9999:-9999
61, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 22:20, 19:19, 22:20
61, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 23:19, 19:19, 23:19
61, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 12:25, 19:19, 12:25
61, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 10:25, 19:19, 10:25
61, 1, Attack Enemy City, No recruits to reach minimum, , , 
61, 1, Attack Enemy City, No recruits to reach minimum, , , 
61, 1, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR
61, 1, Attack Barb Camp, Operation complete
61, 1, Naval Superiority, Recruiting minimums, , , UNIT_GALLEY
61, Naval Superiority, 1, , Battle line, 715827891:23, 0 endangered
61, 1, Naval Superiority, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_GALLEY
61, Naval Superiority, 1, , Battle line, 715827891:23, 0 endangered
61, Naval Superiority, 1, , Battle line, 715827891:23, 0 endangered
61, 1, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
61, 2, Operation Settle New City running
61, 2, Settle New City, ,0, Not Ready, 
61, 2, Attack Enemy City, Started
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_ARCHER
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_ARCHER
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_WARRIOR
61, 2, Attack Enemy City, Recruiting strength, , Enemy Str: 95.0, UNIT_WARRIOR
61, 2, Attack Enemy City, No recruits to reach minimum, , , 
61, 2, Attack Enemy City, No recruits to match strength, , Enemy Str: 95.0, 
61, 2, Attack Enemy City, Operation Recruit, 5 units, Recruited 5, Contract for: UNIT_ARCHER
61, 2, Attack Enemy City, Operation Move, UNIT_WARRIOR, 67:16, 70:12, 68:16
61, 2, Attack Enemy City, Operation Move, UNIT_WARRIOR, 66:17, 70:12, 68:17
61, 2, Attack Enemy City, Operation Move, UNIT_WARRIOR, 68:18, 70:12, 68:18
61, 2, Attack Enemy City, Operation Move, UNIT_ARCHER, 69:18, 71:14, 70:17
61, 2, Attack Enemy City, Operation Move, UNIT_WARRIOR, 66:19, 70:12, 67:18
61, 3, Operation Settle New City running
61, 3, Settle New City, ,0, Ready, UNIT_ARCHER; UNIT_SETTLER; 
61, 3, Operation Attack Enemy City running
61, Attack Enemy City, 3, , Battle line, 1073741833:23, 0 endangered
61, 3, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
61, 3, Operation Attack Barb Camp running
61, 3, Attack Barb Camp, ,0, Not Ready, 
61, 3, Operation Attack Enemy City running
61, 3, Attack Enemy City, ,0, Not Ready, 
61, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
61, 3, Settle New City, Operation Move, UNIT_ARCHER, 17:26, 18:30, 16:27
61, 3, Settle New City, Operation Move, UNIT_SETTLER, 16:27, 18:30, 16:27
61, Attack Enemy City, 3, , Battle line, 1073741833:23, 0 endangered
61, Attack Enemy City, 3, , Battle line, 1073741833:23, 0 endangered
61, 3, Attack Enemy City, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
61, 3, Attack Enemy City, Operation Siege City, UNIT_WARRIOR, From 10:23, Goal: 9:24, Move 9:24
61, 3, Attack Enemy City, Operation Move, UNIT_WARRIOR, 7:21, 9:24, 8:21
61, 3, Attack Enemy City, Operation Move, UNIT_WARRIOR, 8:19, 9:24, 7:20
61, 3, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
61, 3, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
61, 4, Operation Settle New City running
61, 4, Settle New City, ,0, Ready, UNIT_WARRIOR; UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; 
61, 4, Operation Barb Camp Tech Boost running
61, 4, Barb Camp Tech Boost, ,0, Not Ready, 
61, 4, Operation Attack Enemy City running
61, 4, Attack Enemy City, ,0, Not Ready, 
61, 4, Operation Naval Superiority running
61, 4, Naval Superiority, ,0, Ready, UNIT_GALLEY; 
61, 4, Settle New City, No recruits to reach minimum, , , 
61, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
61, 4, Settle New City, No recruits to reach minimum, , , 
61, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
61, 4, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_ARCHER
61, 4, Settle New City, Operation Move, UNIT_WARRIOR, 16:39, 16:39, 16:39
61, 4, Settle New City, Operation Move, UNIT_SETTLER, 16:39, 16:39, 16:39
61, 4, Settle New City, Operation Move, UNIT_WARRIOR, 15:39, 15:39, 15:39
61, 4, Settle New City, Operation Move, UNIT_WARRIOR, 8:36, 15:39, 9:36
61, 4, Barb Camp Tech Boost, No recruits to reach minimum, , , 
61, 4, Barb Camp Tech Boost, No recruits to reach minimum, , , 
61, 4, Barb Camp Tech Boost, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
61, 4, Attack Enemy City, No recruits to reach minimum, , , 
61, 4, Attack Enemy City, No recruits to reach minimum, , , 
61, 4, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR
61, 4, Naval Superiority, No recruits to reach minimum, , , 
61, 4, Naval Superiority, No recruits to match strength, , Enemy Str: 75.0, 
61, 4, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
61, 5, Operation Settle New City running
61, 5, Settle New City, ,0, Not Ready, 
61, 5, Operation Attack Barb Camp running
61, 5, Attack Barb Camp, ,0, Not Ready, UNIT_WARRIOR; 
61, 5, Operation Attack Enemy City running
61, 5, Attack Enemy City, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
61, 5, Operation Naval Superiority running
61, Naval Superiority, 5, , Battle line, 36:36, 0 endangered
61, 5, Naval Superiority, ,0, Ready, UNIT_GALLEY; 
61, 5, Attack Barb Camp, No recruits to reach minimum, , , 
61, 5, Attack Barb Camp, No recruits to reach minimum, , , 
61, 5, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
61, 5, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 49:35, 50:34, 50:34
61, 5, Attack Enemy City, No recruits to reach minimum, , , 
61, 5, Attack Enemy City, No recruits to match strength, , Enemy Str: 144.0, 
61, 5, Attack Enemy City, No recruits to reach minimum, , , 
