Game Turn, Range, Value, Seed, Type, Location
61, 12, 0, 2595882036, sync, Unit Combat Damage
61, 12, 3, 45339229, sync, Unit Combat Damage
61, 12, 8, 1100421074, sync, Unit Combat Damage
61, 12, 10, 3036893347, sync, Unit Combat Damage
61, 12, 7, 3591188384, sync, Unit Combat Damage
61, 12, 11, 2648717145, sync, Unit Combat Damage
61, 12, 11, 4046118686, sync, Unit Combat Damage
61, 12, 5, 4000338943, sync, Unit Combat Damage
61, 1, 0, 1973790156, sync, Random Direction
61, 5, 1, 2547249173, sync, Random Direction
61, 2, 0, 1034014506, sync, Random Direction
61, 1, 0, 1870672155, sync, Random Direction
61, 2, 0, 1584222904, sync, Random Direction
61, 11, 1, 907049105, sync, Random Direction
61, 9, 0, 451261430, sync, Random Direction
61, 4, 1, 384222199, sync, Random Direction
61, 3, 0, 1476452964, sync, Random Direction
61, 6, 2, 984812749, sync, Random Direction
61, 3, 0, 2142312834, sync, Random Direction
61, 4, 1, 280602771, sync, Random Direction
61, 6, 2, 1696317648, sync, Random Direction
61, 10, 6, 1919985865, sync, Random Direction
61, 10, 6, 2715503566, sync, Random Direction
61, 3, 0, 2865511151, sync, Random Direction
62, 1, 0, 918821372, sync, GetNextBuyablePlot picker
62, 4, 2, 642910341, sync, GetNextBuyablePlot picker
62, 1, 0, 2875479770, sync, GetNextBuyablePlot picker
62, 12, 7, 315332363, sync, Unit Combat Damage
62, 38, 35, 2788612584, sync, Choosing a Citizen Name
62, 3, 2, 3979323393, sync, GetNextBuyablePlot picker
62, 6, 5, 3024160422, sync, GetNextBuyablePlot picker
62, 2, 1, 3659176167, sync, GetNextBuyablePlot picker
62, 7, 0, 3784551572, sync, Choosing random tech boost to grant based on era, Player: 3
62, 6, 3, 418235197, sync, Choosing random civic boost to grant based on era, Player: 3
62, 6, 5, 2363942706, sync, Selecting a random new quest
62, 6, 4, 3681410179, sync, Choosing random class type for Recruit Great Person Class quest
62, 6, 4, 3075014144, sync, Selecting a random new quest
62, 5, 3, 3145225785, sync, Choosing random civic type for Trigger Civic Boost quest
62, 5, 4, 2778219646, sync, Selecting a random new quest
62, 6, 1, 3727146463, sync, Choosing random class type for Recruit Great Person Class quest
62, 2, 1, 742390316, sync, GetNextBuyablePlot picker
62, 1, 0, 4286520565, sync, GetNextBuyablePlot picker
62, 12, 0, 510667402, sync, Unit Combat Damage
62, 12, 3, 326392059, sync, Unit Combat Damage
62, 3, 0, 1221102872, sync, GetNextBuyablePlot picker
62, 1, 0, 1358009201, sync, GetNextBuyablePlot picker
62, 1, 0, 3425592662, sync, GetNextBuyablePlot picker
62, 1, 0, 1227196887, sync, GetNextBuyablePlot picker
62, 1, 0, 3359990468, sync, GetNextBuyablePlot picker
62, 12, 8, 2436560301, sync, Unit Combat Damage
62, 12, 5, 3183706338, sync, Unit Combat Damage
62, 1, 0, 1850666099, sync, GetNextBuyablePlot picker
62, 1, 0, 395831088, sync, GetNextBuyablePlot picker
62, 1, 0, 1396588457, sync, GetNextBuyablePlot picker
62, 1, 0, 2392639790, sync, GetNextBuyablePlot picker
62, 12, 9, 3315719375, sync, Unit Combat Damage
62, 12, 10, 3461105244, sync, Unit Combat Damage
62, 3, 1, 3675401573, sync, GetNextBuyablePlot picker
62, 7, 6, 2444249658, sync, Random Direction
62, 8, 4, 3783882475, sync, Random Direction
62, 3, 1, 2391108680, sync, Random Direction
62, 3, 1, 1568488161, sync, Random Direction
62, 1, 0, 2705903622, sync, Random Direction
62, 7, 6, 1174836935, sync, Random Direction
62, 4, 2, 4155049204, sync, Random Direction
62, 4, 0, 3140592669, sync, Random Direction
62, 1, 0, 529655442, sync, GetNextBuyablePlot picker
62, 3, 0, 1280039011, sync, Random Direction
62, 10, 7, 399211616, sync, Random Direction
62, 7, 3, 3016320281, sync, Random Direction
62, 7, 4, 1944312286, sync, Random Direction
62, 4, 2, 2753140671, sync, GetNextBuyablePlot picker
62, 7, 2, 2279341708, sync, Random Direction
62, 10, 0, 1283602901, sync, Random Direction
62, 4, 2, 282047978, sync, Random Direction
62, 9, 1, 2396647643, sync, Random Direction
62, 9, 8, 512784248, sync, Random Direction
62, 1, 0, 3870924369, sync, GetNextBuyablePlot picker
62, 5, 3, 3471525558, sync, Random Direction
62, 10, 8, 2960965559, sync, Random Direction
62, 5, 1, 3859911460, sync, Random Direction
62, 7, 1, 1109970573, sync, Random Direction
62, 1, 0, 677189698, sync, GetNextBuyablePlot picker
62, 8, 6, 303276115, sync, Random Direction
62, 9, 3, 3227958672, sync, Random Direction
62, 7, 4, 1726006921, sync, Random Direction
62, 19, 13, 2703783566, sync, Random Direction
62, 1, 0, 2989354671, sync, GetNextBuyablePlot picker
62, 9, 1, 3869385404, sync, Random Direction
62, 10, 4, 856048197, sync, Random Direction
62, 6, 4, 1748594074, sync, Random Direction
62, 6, 1, 3203712715, sync, Random Direction
62, 10, 0, 785165992, sync, Random Direction
62, 1, 0, 139312577, sync, GetNextBuyablePlot picker
62, 7, 2, 4247832934, sync, Random Direction
62, 2, 1, 1443300519, sync, Random Direction
62, 6, 4, 3297906004, sync, Random Direction
62, 2, 0, 3577181437, sync, Random Direction
62, 4, 1, 1727010290, sync, Random Direction
62, 2, 1, 1712669763, sync, Random Direction
62, 5, 2, 3232541376, sync, Random Direction
62, 1, 0, 1980457977, sync, GetNextBuyablePlot picker
62, 9, 0, 1189453630, sync, Random Direction
62, 11, 8, 238936479, sync, Random Direction
62, 4, 0, 3406934764, sync, Random Direction
62, 7, 5, 697648821, sync, Random Direction
62, 1, 0, 3575148874, sync, GetNextBuyablePlot picker
62, 5, 3, 2536044731, sync, Random Direction
62, 5, 2, 3017609688, sync, Random Direction
62, 8, 4, 2510330161, sync, Random Direction
62, 4, 3, 2431932438, sync, Random Direction
62, 1, 0, 3789841815, sync, GetNextBuyablePlot picker
62, 9, 5, 2935845764, sync, Random Direction
62, 7, 1, 2536806253, sync, Random Direction
62, 1, 0, 852877218, sync, GetNextBuyablePlot picker
62, 10, 6, 3900687411, sync, Random Direction
62, 9, 7, 2661303280, sync, Random Direction
62, 1, 0, 3666885993, sync, GetNextBuyablePlot picker
62, 6, 4, 710300654, sync, Random Direction
62, 7, 4, 2892525711, sync, Random Direction
62, 15, 14, 2556276508, sync, Random Direction
62, 2, 1, 4142286629, sync, GetNextBuyablePlot picker
62, 5, 3, 3042427130, sync, Random Direction
62, 7, 3, 2927986347, sync, Random Direction
62, 5, 2, 2435096840, sync, Random Direction
62, 6, 2, 2312712353, sync, Random Direction
62, 8, 6, 1540420294, sync, Random Direction
62, 8, 6, 3440632455, sync, Random Direction
62, 2, 1, 3689334196, sync, GetNextBuyablePlot picker
62, 11, 3, 2394371549, sync, Random Direction
62, 10, 1, 1549366610, sync, Random Direction
62, 4, 3, 591536163, sync, Random Direction
62, 7, 6, 3875834144, sync, Random Direction
62, 7, 2, 3983954649, sync, Random Direction
62, 9, 2, 1433769118, sync, Random Direction
62, 1, 0, 1183619967, sync, GetNextBuyablePlot picker
62, 12, 11, 1685657420, sync, Unit Combat Damage
62, 8, 1, 4251992981, sync, Random Direction
62, 8, 7, 933387434, sync, Random Direction
62, 7, 5, 4258885787, sync, BT Research Choice
62, 1, 0, 3368442936, sync, GetNextBuyablePlot picker
62, 12, 3, 2011071505, sync, Unit Combat Damage
62, 5, 1, 1277270390, sync, Random Direction
62, 7, 5, 1314159479, sync, Random Direction
62, 2, 0, 3433104356, sync, GetNextBuyablePlot picker
62, 6, 5, 370561101, sync, Random Direction
62, 5, 2, 3699758850, sync, Random Direction
62, 5, 1, 2047563795, sync, Random Direction
62, 8, 6, 1566341712, sync, Random Direction
62, 8, 6, 3615794249, sync, Random Direction
62, 3, 0, 3338559822, sync, GetNextBuyablePlot picker
62, 100, 15, 1279877743, sync, Barbarian Ranged unit roll
62, 100, 66, 672590716, sync, Barbarian Ranged unit roll
62, 12, 0, 2875866117, sync, Unit Combat Damage
62, 12, 9, 191054938, sync, Unit Combat Damage
62, 12, 8, 3484661387, sync, Unit Combat Damage
62, 12, 11, 2879734632, sync, Unit Combat Damage
62, 12, 1, 4200043393, sync, Unit Combat Damage
62, 12, 3, 486624294, sync, Unit Combat Damage
62, 12, 5, 1243951207, sync, Unit Combat Damage
62, 12, 3, 2101292564, sync, Unit Combat Damage
62, 12, 6, 1265166013, sync, Unit Combat Damage
62, 12, 1, 2233861298, sync, Unit Combat Damage
62, 12, 2, 441084931, sync, Unit Combat Damage
62, 4, 0, 736827264, sync, Random Direction
62, 3, 0, 21115321, sync, Random Direction
62, 3, 2, 577485310, sync, Random Direction
62, 4, 3, 3539846495, sync, Random Direction
62, 6, 5, 4004129708, sync, Random Direction
62, 7, 0, 3939184757, sync, Random Direction
62, 4, 2, 281376778, sync, Random Direction
62, 4, 0, 2959300731, sync, Random Direction
62, 3, 0, 157570712, sync, Random Direction
62, 3, 0, 598433521, sync, Random Direction
62, 5, 1, 105581270, sync, Random Direction
62, 5, 2, 1120207191, sync, Random Direction
62, 8, 4, 2492744772, sync, Random Direction
62, 2, 1, 2156263725, sync, Random Direction
62, 6, 5, 2965700194, sync, Random Direction
62, 4, 0, 3945683955, sync, Random Direction
63, 1, 0, 330522800, sync, GetNextBuyablePlot picker
63, 4, 1, 2197158697, sync, GetNextBuyablePlot picker
63, 1, 0, 1610129070, sync, GetNextBuyablePlot picker
63, 12, 0, 2244527183, sync, Unit Combat Damage
63, 12, 6, 107337692, sync, Unit Combat Damage
63, 12, 0, 2437554405, sync, Unit Combat Damage
63, 12, 4, 146012090, sync, Unit Combat Damage
63, 7, 2, 1576490603, sync, Choosing random tech boost to grant based on era, Player: 2
63, 5, 4, 1617335752, sync, Choosing random civic boost to grant based on era, Player: 2
63, 6, 2, 3993036385, sync, Selecting a random new quest
63, 7, 1, 1822020998, sync, Choosing random district type for Zone District quest
63, 5, 2, 1211297351, sync, Selecting a random new quest
63, 6, 4, 2486388340, sync, Choosing random tech type for Trigger Tech Boost quest
63, 6, 5, 2869200797, sync, Selecting a random new quest
63, 6, 2, 4071474194, sync, Choosing random class type for Recruit Great Person Class quest
63, 5, 3, 2108041187, sync, Selecting a random new quest
63, 4, 2, 2625132000, sync, Choosing random civic type for Trigger Civic Boost quest
63, 3, 1, 2493972633, sync, GetNextBuyablePlot picker
63, 6, 3, 2090864478, sync, GetNextBuyablePlot picker
63, 2, 0, 2508807999, sync, GetNextBuyablePlot picker
63, 2, 1, 809299980, sync, GetNextBuyablePlot picker
63, 1, 0, 3495824725, sync, GetNextBuyablePlot picker
63, 12, 8, 1155122026, sync, Unit Combat Damage
63, 12, 0, 3091116123, sync, Unit Combat Damage
63, 3, 2, 231670008, sync, GetNextBuyablePlot picker
63, 1, 0, 2873043409, sync, GetNextBuyablePlot picker
63, 1, 0, 2437458998, sync, GetNextBuyablePlot picker
63, 1, 0, 3895326519, sync, GetNextBuyablePlot picker
63, 1, 0, 141505700, sync, GetNextBuyablePlot picker
63, 1, 0, 3560673805, sync, GetNextBuyablePlot picker
63, 1, 0, 3337311682, sync, GetNextBuyablePlot picker
63, 12, 3, 4234203091, sync, Unit Combat Damage
63, 12, 11, 1153234704, sync, Unit Combat Damage
63, 1, 0, 4263264777, sync, GetNextBuyablePlot picker
63, 1, 0, 706546702, sync, GetNextBuyablePlot picker
63, 12, 9, 2833159727, sync, Unit Combat Damage
63, 12, 7, 3487724604, sync, Unit Combat Damage
63, 3, 1, 2772301253, sync, GetNextBuyablePlot picker
63, 8, 5, 1470225178, sync, Random Direction
63, 3, 1, 2965923403, sync, Random Direction
63, 3, 1, 2105579560, sync, Random Direction
63, 5, 1, 1963796801, sync, Random Direction
63, 6, 0, 1114803942, sync, Random Direction
63, 6, 4, 506797095, sync, Random Direction
63, 5, 2, 3092975316, sync, Random Direction
63, 3, 0, 2302810237, sync, Random Direction
63, 4, 0, 1112060786, sync, Random Direction
63, 1, 0, 466441155, sync, GetNextBuyablePlot picker
63, 7, 3, 2982429760, sync, Random Direction
63, 8, 3, 2262613881, sync, Random Direction
63, 6, 4, 2129302718, sync, Random Direction
63, 8, 0, 3425134879, sync, Random Direction
63, 4, 1, 466183276, sync, GetNextBuyablePlot picker
63, 8, 6, 1222695477, sync, Random Direction
63, 11, 2, 3291954890, sync, Random Direction
63, 4, 1, 987985979, sync, Random Direction
63, 9, 5, 1511938904, sync, Random Direction
63, 9, 4, 2631001265, sync, Random Direction
63, 1, 0, 2331147670, sync, GetNextBuyablePlot picker
63, 6, 5, 1132944663, sync, Random Direction
63, 7, 2, 3586774276, sync, Random Direction
63, 9, 6, 1257183981, sync, Random Direction
63, 8, 0, 3260079394, sync, Random Direction
63, 7, 6, 169522099, sync, Random Direction
63, 8, 3, 3750837616, sync, Random Direction
63, 1, 0, 1714387177, sync, GetNextBuyablePlot picker
63, 4, 1, 2789452142, sync, Random Direction
63, 6, 1, 1635964943, sync, Random Direction
63, 9, 5, 1294254236, sync, Random Direction
63, 15, 10, 2684205733, sync, Random Direction
63, 1, 0, 2927947386, sync, GetNextBuyablePlot picker
63, 8, 5, 1000269355, sync, Random Direction
63, 11, 1, 3171633800, sync, Random Direction
63, 4, 1, 464804897, sync, Random Direction
63, 5, 4, 1650686022, sync, Random Direction
63, 9, 1, 4280531463, sync, Random Direction
63, 1, 0, 760121140, sync, GetNextBuyablePlot picker
63, 10, 6, 4258896221, sync, Random Direction
63, 5, 1, 2639188690, sync, Random Direction
63, 5, 1, 1597501347, sync, Random Direction
63, 3, 2, 1357308576, sync, Random Direction
63, 6, 3, 3004919385, sync, Random Direction
63, 5, 0, 2418231838, sync, Random Direction
63, 8, 6, 282059519, sync, Random Direction
63, 1, 0, 3488057548, sync, GetNextBuyablePlot picker
63, 9, 4, 2869663509, sync, Random Direction
63, 12, 5, 2335566378, sync, Random Direction
63, 4, 1, 2043260955, sync, Random Direction
63, 9, 0, 1584031160, sync, Random Direction
63, 1, 0, 43749265, sync, GetNextBuyablePlot picker
63, 6, 1, 1562410742, sync, Random Direction
63, 7, 2, 902378231, sync, Random Direction
63, 6, 2, 1446782308, sync, Random Direction
